Supplier Name,Production Line,Scope,Start/Renewal Date,Method of Approval,Approval Expiration,
Blacksmith Bolt & Rivet,PL1,specialty hardware,1/2025,,N/A,
Boedeker Plastics,PL1,plastic inserts for stocks,9/2025,Boedeker Plastics ISO9001.pdf,N/A,
Brandt Industries,PL1,"sandblaster service, parts, sand",04/2024,Brandt ISO9001.pdf,N/A,
C&M Topline,PL3,tumbler media,,,N/A,
CNC Specialty Store,PL3,CNC grease,02/2023,,N/A,
GoVets.com,"PL1, PL3",tooling,6/2023,,N/A,
GrovTec,PL1,"swivel studs, QDs",3/2021,GrovTec AS9100/ISO9001.pdf,N/A,
Gurit,PL1,carbon fiber,3/2021,"Gurit ISO9001, ISO14001.pdf",N/A,
Hunt G4,PL1,bipod plates and adaptors,1/2025,,N/A,
Industrial Tooling,PL3,dovetail drill bit for Arca rails,5/2025,,N/A,
Labelmaker,PL1,software,6/2023,,N/A,
Lyman,PL1,butt pads,3/2021,,N/A,
Marine Coat One,PL1,276 and MEKP activator,1/2022,,N/A,
Max Tool Inc.,"PL1, PL3",tooling,6/2023,,N/A,
Next Industries,PL3,fiberglass burr endmill,4/2025,,N/A,
Palmer Holland,PL1,glass bubbles,4/2021,Palmer Holland ISO9001.pdf,N/A,
Premium Resin Tech,PL1,epoxy,4/2021,,N/A,
Sherwin Williams,PL1,paint products,3/2021,Sherwin Williams Global QMS.pdf AS9100D (ASR) Certificate of Registration - EXP 2027 (2).pdf,N/A,
Spartan Bipods,PL1,bipod plates and adaptors,1/2022,,N/A,
Speedy Metals,"PL1, PL3",raw metal,8/2021,,N/A,
Sure Chem,PL3,CNC coolant,1/2022,,N/A,
United Plating,PL1,anodizing,9/2020,United Plating NADCAP AC7004.pdf,N/A,
Zoltek,PL1,chopped carbon fiber,5/2021,Zoltek-Corp-US-MX-issued-2024-20875660-Final-Cert.pdf,N/A,
Zoro,"PL1, PL3",tooling,8/2021,,N/A,
Alternatives for Industry,"PL1, PL2",tooling distributor,8/2025,AFI AS9120 Cert AGS-US032224.pdf ISO Cert - IAF Accredited.pdf AFI - Supplier Approval Form.pdf,7/5/2026,**Any supplier for PL2 is evaluated under PL2
Composite Envisions,"PL1, PL2",consumables only; VARTM NO TRACEABILITY,6/2022,CE - Supplier Approval Form.pdf,8/27/28,
Composites One,"PL1, PL2","Pro-Set epoxy, mold chemicals distributor",3/2021,CO AS9120 Certificate.pdf,8/25/2026,
English Colors,"PL1, PL2","various paint & finish supplies, 6030 epoxy distributor",9/2025,EC Supplier Approval.pdf,9/24/2028,
Fastener Superstore,"PL1, PL2","hardware, consumables only NO TRACEABILITY",04/2024,FS page 1.jpg.pdf FS page 2.jpg.pdf,10/21/2028,
Fishbowl,"PL1, PL2",software provider,09/2020,grandfathered in - moving away from this program this year,N/A,
Gunnar,"PL1, PL2","cutting table blades, service",12/2023,Gunnar Supplier Approval Form - 10.22.25.pdf,10/22/2028,
LMS,"PL1, PL2",raw metal,4/2023,LMS ISO9001.pdf,10/27/2027,
Machining Resource,"PL1, PL2",tooling distributor,1/2022,MR-Supplier Approval Form 2025 (1).pdf,8/27/2028,
Stoner Molding,"PL1, PL2",mold release,3/2022,Stoner ISO 9001_2015.pdf  Stoner Supplier Approval Form.pdf,12/16/2027,
US Composites,"PL1, PL2","private-label epoxy, foam, pigment, partall paste, specialty tape, e-glass",3/2021,US Comp Supplier Approval.pdf,9/4/2028,
Airtech,PL2,vacuum bagging supplies,11/2024,Airtech AS9100 (1).pdf,5/11/2028,
Clearwater Composites,PL2,carbon fiber tubes,12/2024,Clearwater-AS9100-Cert.pdf,4/9/2028,
Fiberglass Supply,PL2,vacuum bagging tube film,9/2024,"contact form filled out 8/27, 10/15",,
Hitt Companies,PL2,marking tools,7/2025,Hitt - Supplier Approval Form.pdf,8/27/2028,
Park Aerospace,PL2,fiberglass,8/2025,Park-Aerospace AS9100.pdf customer approved,6/2/2027,
Rock West Composites,PL2,"carbon fiber, compression tape",8/2024,Rock West AS9100/ISO9001.pdf customer approved,2/2/2027,
SHD Composites,PL2,composite material,11/2024,SHD AS9100 certificate.pdf customer approved,2/6/2028,
Smartech,PL2,"silicone molding, RTM supplies, NO TRACEABILITY",9/2025,Smartech Supplier Approval Form,9/15/2028,
Superior Coatings,PL2,CARC primer & paint,8/2025,Superior-ISO-Certificate.pdf,12/17/2026,
