PL2 Supplier 2025,Scope,Jan- Quality,Jan- Cost,Jan- Delivery,Jan- Response,Jan Total,Feb- Quality,Feb- Cost,Feb- Delivery,Feb- Response,Feb Total,Mar- Quality,Mar- Cost,Mar- Delivery,Mar- Response,Mar Total,Apr- Quality,Apr- Cost,Apr- Delivery,Apr- Response,Apr Total,May- Quality,May- Cost,May- Delivery,May- Response,May Total,Jun- Quality,Jun- Cost,Jun- Delivery,Jun- Response,Jun Total,Jul- Quality,Jul- Cost,Jul- Delivery,Jul- Response,Jul Total,Aug- Quality,Aug- Cost,Aug- Delivery,Aug- Response,Aug Total,Sep- Quality,Sep- Cost,Sep- Delivery,Sep- Response,Sep Total,Oct- Quality,Oct- Cost,Oct- Delivery,Oct- Response,Oct Total,Nov- Quality,Nov- Cost,Nov- Delivery,Nov- Response,Nov Total,Dec- Quality,Dec- Cost,Dec- Delivery,Dec- Response,Dec Total,YTD Avg
Airtech,vacuum bagging sticky putty,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,N/A
Alternatives for Industry,tooling,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5,5,5,5,20,5,5,5,5,20,5,5,5,5,20,,,,,,,,,,,,,,,,20.00
Clearwater Composites,carbon fiber tubes,,,,,N/A,5,4,4,5,18,5,4,3,5,17,5,4,4,5,18,5,5,4,5,19,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,0,,,,,0,,,,,0,18.00
Composites One,"Pro-Set epoxy, mold chemicals",4,4,4,4,16,5,4,4,4,17,5,4,5,4,18,5,4,5,4,18,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5,5,5,5,20,,,,,0,,,,,0,,,,,0,17.80
English Colors,6030 Epoxy,5,5,5,5,20,2,5,5,5,17,5,5,5,5,20,4,5,5,5,19,4,5,4,5,18,4,5,5,5,19,4,5,5,5,19,5,5,4,5,19,5,5,5,5,20,,,,,,,,,,,,,,,,19.00
Fastener Superstore,hardware for plugging,,,,,N/A,,,,,N/A,5,5,5,5,20,5,5,5,5,20,5,5,5,5,20,,,,,N/A,5,5,5,5,20,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,20.00
Fiberglass Supply,vacuum bagging tube film,,,,,N/A,,,,,N/A,5,5,5,5,20,,,,,N/A,,,,,N/A,5,5,5,5,20,,,,,N/A,,,,,N/A,,,,,N/A,,,,,0,,,,,N/A,,,,,N/A,20.00
Fishbowl,software,4,4,4,2,14,4,4,4,2,14,4,4,4,2,14,4,4,4,2,14,4,4,4,2,14,3,3,4,3,13,4,4,4,4,16,4,4,4,4,16,4,4,4,4,16,,,,,,,,,,,,,,,,14.56
Gunnar,"cutting table blades, service",,,,,N/A,,,,,N/A,,,,,N/A,5,4,4,5,18,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,0,,,,,N/A,18.00
Hitt Companies,marking tools,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5,5,5,5,20,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,20.00
LMS,raw metal,,,,,N/A,5,5,5,5,20,5,5,5,5,20,,,,,N/A,,,,,N/A,,,,,N/A,5,5,5,5,20,4,5,4,5,18,5,5,5,5,20,,,,,0,,,,,0,,,,,N/A,19.60
Machining Resources,tooling,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5,3,4,5,17,5,4,4,5,18,,,,,N/A,5,5,5,5,20,5,3,5,5,18,,,,,,,,,,,,,,,,18.25
Park Aerospace,fiberglass,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5,5,4,4,18,,,,,,,,,,,,,,,,18.00
Rock West Composites,"carbon fiber, compression tape",5,4,5,5,19,5,4,5,5,19,5,4,5,5,19,5,4,5,5,19,5,4,5,5,19,5,4,4,5,18,,,,,N/A,5,4,5,5,19,5,5,5,3,18,,,,,N/A,,,,,N/A,,,,,N/A,18.75
SHD Composites,composite material,,,,,N/A,5,4,4,4,17,5,4,4,1,14,5,4,4,3,16,,,,,N/A,,,,,N/A,,,,,N/A,,,,,NA,,,,,NA,,,,,,,,,,,,,,,,15.67
