AG Part #,SKU,Name,Source,Supplier Part #,Cost per,Order Date,Notes,Utilized,Secondary Source,Supplier Part #
,,,, ,,,,,,
590,, 3 Hole Punch,Amazon,,,,,Admin,,
1,,3M 7447 General Purpose Hand Pads 20/carton (maroon),Walmart,,$27/20,,,PL1,,
2,Stock,3mm Glass Bubble,Palmer Holland,3M 25k Glass Bubbles,$491.20 ,3/28/2025,for mix,PL1,,
3,,Acetone,English Color,192,$94.53 ,6/30/2025,,PL1,,
4,,"Air Filter, 12"" x 12""",Lowes,,,,old mix room; bathroom,Facilities,,
5,,"Air Filter, 12"" x 30"" Filtrete",Prowess Global,HDWRCTF-12,$5.37 ,1/19/2022,CNC coolant filters,PL3,,
46,,"Air Filters, 16"" x 25"" x 2"" Intake",Amazon,Glassfloss 16x25x2,$7.56 ,3/26/2025,green front office roof,Facilities,,
8,,"Air Filters, Paint Booth, 20 x 20 Arrestor",English Color,400020,$103.40 ,5/20/2025,blue paint booth,PL1,,
9,,"Air Filters, Paint Booth, 20 x 20 Tacky",English Color,PNL205-2020,$93.73 ,4/25/2025,green paint booth,PL1,,
6,,Air Filters 20 x 30,Lowes,518726,4.97/2,2/7/2022,lay up room,Facilities,,
7,,Air Filters 24 x 30,Lowes,258976,9.97/3,2/7/2022,lay up room,Facilities,,
10,,"Air Fittings Kit, 42 piece",Lowe's,896805,$54.98 ,2/15/2022,air compressor,Facilities,,
11,,"Air Hose repair kit, 3/8""",Lowes,357420,$5.98 ,3/29/2022,air compressor,Facilities,,
12,,Air Tool Oil,McMaster,2158K46,$11.31 ,3/14/2022,,Facilities,,
13,,Aluminum Foil,Grainger,4UGG6,$138.02 ,2/1/2022,for ovens,Facilities,,
14,,Aluminum Step Stand - 2 Steps,Uline,H-7905,$301.00 ,7/14/2021,,Facilities,,
365,,"Anodizing, Black MIL-PRF-8625 Rev.F(2) Type2, Class2",United Plating,UPI 5,,,black anodizing of parts,"Services, PL1",,
15,Stock,"Arca Rails 6""",AG Composites,,,,,PL1,,
15a,Stock,"Arca Rails 4""",AG Composites,,,,,PL1,,
570,SG1290-001,"Bandit Fuselage, 10"" tube",,,,,,PL2,,
560,SG01545,Bandit Horizontal Stabilizer,AGAT,,,,,PL2,,
560a,SG01545,Bandit Horizontal Stabilizer Elevator,AGAT,,,,,PL2,,
560aa,SG01545,"Bandit Elevator - Wood Pieces - Elevator Inner teardrop 1""W x 4 7/8""L (1"" x 4 1/2"")",StrataG,1570-005,N/A,2/25/2025,customer supplied parts,PL2,,
560ab,SG01545,"Bandit Elevator - Wood Pieces - Elevator Outer teardrop 1""W x 4 7/8""L (1"" x 4 1/2"")",StrataG,1570-007,N/A,2/25/2025,customer supplied parts,PL2,,
560ac, SG01545,"Bandit Elevator Foam Core - Carbon Fiber tube, 0.035"" Wall Thickness, 0.320"" OD x 22 1/2""",Clearwater Composites,0.250-0.320-UD-72,$50.00 ,,Pivot Tube 2-4 week lead time,PL2,,
560b,SG01545,"Bandit Horizontal Stabilizer - Wood Pieces - HI triangle 5"" x 5"" x 1 1/8"" (4 9/16"" x 1"")",StrataG,1569-005,N/A,2/25/2025,customer supplied parts,PL2,,
560c,SG01545,"Bandit Horizontal Stabilizer - Wood Pieces - HO triangle 5"" x 5"" x 1 1/8"" (4 9/16"" x 1"")",StrataG,1569-007,N/A,2/25/2025,customer supplied parts,PL2,,
560d,SG01545,Bandit Horizontal Stabilizer Foam Core,Windcatcher RC,24x24x3,$165.73 ,2/25/2025,vertical tail stabilizer core,PL2,,
560e,SG01545,"Bandit Horizontal Stabilizer Foam Core - Carbon fiber tube, 3/4"" x .82"" x 48""",Clearwater Composites,0.750-0.820-TW-96,$84.87 ,3/5/2025,horizontal stabilizer spar,PL2,,
565,SG01291-001,"Bandit tailcone, 10""",,,,,,PL2,,
559,SG01544,Bandit Vertical Stabilizer,AGAT,,,,,PL2,,
559a,SG01544,Bandit Vertical Stabilizer Rudder,AGAT,,,,,PL2,,
559aa,SG01544,"Bandit Rudder - Wood Cap - Upper teardrop 3/4""W x 3 5/8""L",StrataG,1568-007,N/A,4/3/2025,customer supplied parts,PL2,,
559ab,SG01544,"Bandit Rudder - Wood Cap - Lower teardrop 1 15/16""W x 7""L",StrataG,1568-005,N/A,2/25/2025,customer supplied parts,PL2,,
559ac,SG01544,"Bandit Rudder - Carbon Fiber tube, 0.035"" Wall Thickness, 0.320"" OD x 24 1/2""",Clearwater Composites,0.250-0.320-UD-72,$50.00 ,,Pivot Tube 2-4 week lead time,PL2,,
559b,SG01544,Bandit Vertical Stabilizer Foam Core,Windcatcher RC,48x26x3,$267.03 ,2/25/2025,vertical tail stabilizer core,PL2,,
559b(1),SG01544,Bandit Vertical Stabilizer Foam Core center plug,,,,,used during mold assembly,PL2,,
559c,SG01544,"Bandit Vertical Stabilizer - Wood Cap - VT Upper triangle 7/8"" x 3 5/8"" x 3 5/8"" (3/4"" x 3 5/8"")",StrataG,1566-007,N/A,2/25/2025,customer supplied parts,PL2,,
559d,SG01544,"Bandit Vertical Stabilizer - Wood Cap - VT Lower trapezoid 1 1/4"" x 1 7/8"" x 1 5/8"" x 1 7/8""",StrataG,1566-005,N/A,2/25/2025,customer supplied parts,PL2,,
559e,SG01544,"Bandit Vertical Stabilizer - Spar, Carbon fiber tube, 3/4"" x .82"" x 37""",Clearwater Composites,0.750-0.820-TW-96,$84.87 ,2/19/2025,tail assembly spar,PL2,,
559f,SG01544,"Bandit Vertical Stabilizer - Spar, Carbon fiber tube, 3/4"" x .82"" x 39""",Clearwater Composites,0.750-0.820-TW-96,$84.87 ,,tail assembly spar,PL2,,
