"QMS MASTER LIST DOCUMENTS, POSTERS, AND FORMS",,,,,,
TITLE,CODE,Department,Version,Date,Record Retention Length,Summary of Changes (if needed)
No Cans in Freezer,AG Poster 1,General Use,1.1,5/1/2024,N/A,
Ear Plugs and Eye Protection Mandatory,AG Poster 2,General Use,1.1,6/18/2025,N/A,
Emergency Plan Assembly Point ,AG Poster 3,General Use,1.0,6/17/2025,N/A,
Break Policy Poster,AG Poster 4,General Use,1.0,6/18/2025,N/A,
Vacation and Sick Day policy,AG Poster 5,General Use,1.0,6/18/2025,N/A,
No Cell Phones Poster,AG Poster 6,General Use,1.0,6/18/2025,N/A,
To Turn On Compressor #1,AG Poster 7,Cutting Table,1.0,9/16/2025,N/A,
CHEMICAL STORAGE & EXPIRATION DATES PL1.pdf,AG Poster 8,General Use,1.4,10/27/2025,N/A,
CHEMICAL STORAGE & EXPIRATION DATES PL2.pdf,AG Poster 8.1,General Use,1.0,10/27/2025,N/A,
Oven Temperatures Poster,AG Poster 9,General Use,1.2,9/9/2025,N/A,
AG Poster 10 Quality Policy Slide,AG Poster 10,General Use ,1.0,9/23/2025,N/A,
Poster 11 Mix Room PPE,AG Poster 11,General Use,1.0,9/23/2025,N/A,
Rifle Stock Packet Poster,AG Poster 11,Cutting Table,1.0,10/7/2025,,
CNC Maintenance Checklist,CNC Form 1,CNC,1.0,6/18/2025,10 years,
Lathe Maintenance Checklist,CNC Form 2,CNC,1.0,6/18/2025,10 years,
Tumbler Maintenance Checklist,CNC Form 3,CNC,1.0,6/18/2025,3 years,
Bandsaw Maintenance Checklist,CNC Form 4,CNC,1.0,6/18/2025,3 years,Not in use
Finish Weekly Production Sheet,FN Form 1,Finish - PL1,1.1,6/18/2025,3 years,
Quality Manual,FO DOC 1,Quality,3.5,11/13/2024,N/A,
Process Manual,FO DOC 2,Front Office,2.0,6/18/2025,N/A,
"Environmental, Health, and Safety for AGC",FO DOC 3,Front Office,2.1,8/18/2025,N/A,
Document Control Policy - Google Docs.pdf,FO DOC 4,Front Office,1.2,8/5/2025,N/A,
Serialized Item Policy and Procedures,FO DOC 5,Front Office,1.0,6/18/2025,N/A,
