index-B66RA4rz.js:1452  GET https://agcompepoch.xyz/api/auth/session 401 (Unauthorized)
queryFn @ index-B66RA4rz.js:1452
o @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
fetch @ index-B66RA4rz.js:51
z7 @ index-B66RA4rz.js:51
onSubscribe @ index-B66RA4rz.js:51
subscribe @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
OHe @ index-B66RA4rz.js:38
Dre @ index-B66RA4rz.js:40
cF @ index-B66RA4rz.js:40
T5e @ index-B66RA4rz.js:40
L_ @ index-B66RA4rz.js:38
m2t @ index-B66RA4rz.js:40
Ik @ index-B66RA4rz.js:40
mVe @ index-B66RA4rz.js:40
j @ index-B66RA4rz.js:25
E @ index-B66RA4rz.js:25
index-B66RA4rz.js:235  GET https://agcompepoch.xyz/api/auth/session 401 (Unauthorized)
(anonymous) @ index-B66RA4rz.js:235
o @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
fetch @ index-B66RA4rz.js:51
z7 @ index-B66RA4rz.js:51
onSubscribe @ index-B66RA4rz.js:51
subscribe @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
OHe @ index-B66RA4rz.js:38
Dre @ index-B66RA4rz.js:40
cF @ index-B66RA4rz.js:40
T5e @ index-B66RA4rz.js:40
L_ @ index-B66RA4rz.js:38
m2t @ index-B66RA4rz.js:40
Ik @ index-B66RA4rz.js:40
mVe @ index-B66RA4rz.js:40
j @ index-B66RA4rz.js:25
E @ index-B66RA4rz.js:25
index-B66RA4rz.js:235  GET https://agcompepoch.xyz/api/auth/session 401 (Unauthorized)
(anonymous) @ index-B66RA4rz.js:235
o @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
Promise.then
(anonymous) @ index-B66RA4rz.js:51
Promise.catch
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
fetch @ index-B66RA4rz.js:51
z7 @ index-B66RA4rz.js:51
onSubscribe @ index-B66RA4rz.js:51
subscribe @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
OHe @ index-B66RA4rz.js:38
Dre @ index-B66RA4rz.js:40
cF @ index-B66RA4rz.js:40
T5e @ index-B66RA4rz.js:40
L_ @ index-B66RA4rz.js:38
m2t @ index-B66RA4rz.js:40
Ik @ index-B66RA4rz.js:40
mVe @ index-B66RA4rz.js:40
j @ index-B66RA4rz.js:25
E @ index-B66RA4rz.js:25
index-B66RA4rz.js:235  POST https://agcompepoch.xyz/api/p2-traveler/complete-task 400 (Bad Request)
ze @ index-B66RA4rz.js:235
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
index-B66RA4rz.js:4397 API error raw body: {"error":"Barcode does not match the started task"}
console.error @ index-B66RA4rz.js:4397
ze @ index-B66RA4rz.js:235
await in ze
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
index-B66RA4rz.js:4397 💥 API Request failed for /api/p2-traveler/complete-task: Error: Barcode does not match the started task
    at ze (index-B66RA4rz.js:235:6254)
    at async Object.mutationFn (index-B66RA4rz.js:2788:98119)
console.error @ index-B66RA4rz.js:4397
ze @ index-B66RA4rz.js:235
await in ze
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
index-B66RA4rz.js:235  POST https://agcompepoch.xyz/api/p2-traveler/complete-task 400 (Bad Request)
ze @ index-B66RA4rz.js:235
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
index-B66RA4rz.js:4397 API error raw body: {"error":"Barcode does not match the started task"}
console.error @ index-B66RA4rz.js:4397
ze @ index-B66RA4rz.js:235
await in ze
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
index-B66RA4rz.js:4397 💥 API Request failed for /api/p2-traveler/complete-task: Error: Barcode does not match the started task
    at ze (index-B66RA4rz.js:235:6254)
    at async Object.mutationFn (index-B66RA4rz.js:2788:98119)
console.error @ index-B66RA4rz.js:4397
ze @ index-B66RA4rz.js:235
await in ze
mutationFn @ index-B66RA4rz.js:2788
fn @ index-B66RA4rz.js:51
p @ index-B66RA4rz.js:51
start @ index-B66RA4rz.js:51
execute @ index-B66RA4rz.js:51
await in execute
mutate @ index-B66RA4rz.js:51
(anonymous) @ index-B66RA4rz.js:51
onSubmit @ index-B66RA4rz.js:2788
Pwt @ index-B66RA4rz.js:37
Bwt @ index-B66RA4rz.js:37
Owt @ index-B66RA4rz.js:37
n5e @ index-B66RA4rz.js:37
vHe @ index-B66RA4rz.js:37
(anonymous) @ index-B66RA4rz.js:37
qye @ index-B66RA4rz.js:40
z$e @ index-B66RA4rz.js:37
Toe @ index-B66RA4rz.js:37
gye @ index-B66RA4rz.js:37
Xwt @ index-B66RA4rz.js:37
