AG Part#,SKU,Name,Type,Source,Supplier Part #,Secondary Supplier Part #,Cost per,Purchase Unit,Usage Qty per Unit,Usage Unit,COGS per Unit,Order Date,Department,Secondary Source,Notes,Stock Item,Utilized In
590,,3 Hole Punch,,,,,,,,,,,,,,No,
1,,3M 7447 General Purpose Hand Pads 20/carton (maroon),,Walmart,,,,,,,,,PL1,,,No,
15a,,"4"" ARCA Rail",,AG Composites,,,,,,,,,PL1,,,No,
15,,"6"" ARCA Rail",,AG Composites,,,,,,,,,PL1,,,No,
15b,,"8"" ARCA Rail",,AG Composites,,,,,,,,,PL1,,,No,
3,,Acetone,,English Color,192,,,,,,,,PL1,,,No,
472f,,Aileron,Manufactured,StrataG,,,,,,,,,,,,No,PL2
572c,,Aileron foam core,Manufactured,,,,,,,,,,,,,No,PL2
12,,Air Tool Oil,,McMaster,2158K46,,,,,,,,Facilities,,,No,
14,,Aluminum Step Stand - 2 Steps,,Uline,H-7905,,,,,,,,Facilities,,,No,
16,,Barrel Pump- ATD,,Walmart,,,,,,,,,Facilities,,,No,
19,,Belt- A58 1/2 wide- 60 outside length,,MSC Industrial,43809136,,,,,,,,Facilities,,,No,
20,,Binder clips- 1/2,,Uline,S-25650,,,,,,,,Admin,,,No,
21,,Bins-plastic 8.5x12x4- shelf,,Uline,S-13398,,,,,,,,Facilities,,,No,
22,,Blade Disposal Container jumbo yellow,,Uline,S-18775,,,,,,,,Facilities,,,No,
23,,Blades- Utility 100 ct Workpro Dispenser,,amazon.com,B015W3AKDQ,,,,,,,,Facilities,,,No,
25,,Bondo 20126 Fiberglass Resin Liquid Hardener - 22 ml,,,,,,,,,,,,,,No,
26,,Box 22x18 easy fold mailers,,Uline,S-14242,,,,,,,,Shipping,,,No,
27,,Box 24x12x10 file storage,,Uline,S-3888,,,,,,,,Admin,,,No,
28,,Box 3x3x3,,Uline,S-13287,,,,,,,,Shipping,,,No,
35,,Bubble Sleeves,,Associated Bag,3/16,,,,,,,,Shipping,,,No,
36,,Bubble Sleeves,,Associated Bag,,,,,,,,,Shipping,,,No,
37,,Bubble Wrap 1/2 x 24 X 250',,American Paper & Twine,PA-012-24P12,,,,,,,,Shipping,,,No,
39,,Bubble Wrap 3/16 24x750',,American Paper & Twine,PA-316-24P12,,,,,,,,Shipping,,,No,
40,,Buffing Compound Kit- United Abrasives,,Amazon,,,,,,,,,mold cleaning,,,No,
41,,Buffing Wheel,,Amazon,,,,,,,,,PL1,,,No,
42,,Buttpads- Medium,,Lyman,07780,,,,,,,,PL1,,,No,
43,,Buttpads- XL,,Lyman,07287,,,,,,,,PL1,,,No,
44,,C-Clamp steel sliding T-handle,,McMaster,5027A16,,,,,,,,PL1,PL2,,No,
301,,Carbon Fiber - 250F Epoxy - 39.4 Wide x 0.011 Thick - Standard Modulus - 3k 2x2 Twill Weave - (366 gsm OAW),Purchased,Rock West Composites,14033,,,,,,,,PL2,,,No,PL2
542,,Carbon Fiber - 250F Resin System - 39.37 Wide x 0.006 Thick - Standard Modulus - Unidirectional,,Rock West Composites,14002,,,,,,,,PL2,,,No,
543,,Carbon Fiber - MTC581-C200T-AS4C-3K-42% RW50 twill,,SHD,SHDUS0930-(1270)-50,,,,,,,,PL2,,,No,
550,,Carbon Fiber - VTC401-C200PW-282-PRIMETEX-AS4C-3K-42%RW-50,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
542e,,Carbon Fiber 10in Tail Cone 0 Deg Uni,,Rock West Composites,,,,,,,,,PL2,,,No,
542d,,Carbon Fiber 10in Tail Cone 90 Deg Uni Small Strip,,Rock West Composites,,,,,,,,,PL2,,,No,
542c,,Carbon Fiber 10in Tail Cone 90 Deg Uni Tapered Piece,,Rock West Composites,,,,,,,,,PL2,,,No,
542a,,Carbon Fiber 10in Tail Cone Collar 0 Deg Uni Ply,,Rock West Composites,,,,,,,,,PL2,,,No,
542b,,Carbon Fiber 10in Tail Cone Collar 90 Deg Uni Ply,,Rock West Composites,,,,,,,,,PL2,,,No,
552a,,Carbon Fiber Bandit fuselage 0 Deg Uni,,SHD,SHDUS0931-610,,,,,,,,PL2,,,No,
552b,,Carbon Fiber Bandit fuselage 90 Deg Uni,,SHD,SHDUS0931-610,,,,,,,,PL2,,,No,
550a,,Carbon Fiber Bandit wing skin,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550(8),,Carbon Fiber Elevator Seam 20 5/8 x 4,,,SHDUS0940-50,,,,,,,,PL2,,,No,
550(7),,Carbon Fiber Elevator Shell 20 5/8 x 6 5/8,,,SHDUS0940-50,,,,,,,,PL2,,,No,
550b,,Carbon Fiber Horizontal stabilizer shell,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550k,,Carbon Fiber Horizontal stabilizer shell +45° with XXs ,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550f,,Carbon Fiber Horizontal stabilizer shell -45° w/pre-cut holes,,,SHDUS0940-50,,,,,,,,PL2,,,No,
543a,,Carbon Fiber Twill piece for Bandit fuselage,,SHD,,,,,,,,,PL2,,,No,
550i,,Carbon Fiber horiz stabilizer leading edge seam 24.5 x 3,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550c,,Carbon Fiber horiz stabilizer reinforcement 10 x 12 w/ holes,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550e,,Carbon Fiber horiz stabilizer reinforcement 24 x 6 x 4 w/ holes,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550j,,Carbon Fiber horizontal stabilizer reinforcement 24 x 6 x 4,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550h,,Carbon Fiber horizontal stabilizer trailing edge seam 21 x 2,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550d,,Carbon Fiber horizontal stabilizer wing tip seam 18 x 4,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
552,,Carbon Fiber mtc581-ud150-sts40-24k-36%rw-610 uni,,SHD,SHDUS0931-610,,,,,,,,PL2,,,No,
550(5),,Carbon Fiber reinforcement piece 3 x 2,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
