"capability","source","line"
"a.approved_by_user_id","server/src/routes/certificationAuthorizations.ts","79"
"a.authorization_type","server/src/routes/certificationAuthorizations.ts","77"
"a.department","server/src/routes/certificationAuthorizations.ts","76"
"a.employee_id","server/src/routes/certificationAuthorizations.ts","72"
"a.part_number","server/src/routes/certificationAuthorizations.ts","74"
"a.product_family","server/src/routes/certificationAuthorizations.ts","75"
"a.program","server/src/routes/certificationAuthorizations.ts","73"
"a.status","server/src/routes/certificationAuthorizations.ts","78"
"aaa.bbb","server/__tests__/operatorAuthService.test.ts","274"
"accounting-control-transactions.csv","server/src/routes/accountingControl.ts","690"
"admin.manage_users","server/index.ts","4734"
"admin.manage_users","server/src/capabilities.ts","223"
"admin.manage_users","server/src/routes/users.ts","179"
"admin.manage_users","server/src/routes/users.ts","285"
"admin.manage_users","server/src/routes/users.ts","411"
"admin.order_lookup","server/index.ts","4683"
"admin.order_lookup","server/index.ts","5120"
"admin.order_lookup","server/src/capabilities.ts","224"
"admin.order_lookup","server/src/routes/admin.ts","2240"
"agcompepoch.xyz","client/src/lib/queryClient.ts","230"
"agcompepoch.xyz","client/src/lib/queryClient.ts","402"
"agcomposites.com","server/__tests__/vendorPoPdfLayout.test.ts","64"
"all_orders.model_id","server/src/routes/layupSchedule.ts","448"
"amazon.com","database_export_2025-08-13T04-27-34.sql","2066"
"amazon.com","database_export_2025-08-28T21-28-04.sql","2304"
"amazon.com","github-export/database_export_2025-08-28T21-28-04.sql","2304"
"approvals.override","migrations/0130_audit_dcaa_security_section11.sql","193"
"approvals.override","migrations/0130_audit_dcaa_security_section11.sql","218"
"approvals.override","migrations/0130_audit_dcaa_security_section11.sql","226"
"approvals.override","server/index.ts","4668"
"ar_invoice_lines.part_number","server/src/routes/arInvoices.ts","74"
"ar_invoice_lines.po_item_id","server/src/routes/arInvoices.ts","73"
"ar_invoices.customer_visible_notes","server/src/routes/arInvoices.ts","67"
"ar_invoices.discount_amount","server/src/routes/arInvoices.ts","63"
"ar_invoices.freight_amount","server/src/routes/arInvoices.ts","64"
"ar_invoices.internal_notes","server/src/routes/arInvoices.ts","68"
"ar_invoices.retainage_amount","server/src/routes/arInvoices.ts","66"
"ar_invoices.retainage_percent","server/src/routes/arInvoices.ts","65"
"ar_invoices.sendgrid_message_id","server/src/routes/arInvoices.ts","70"
"ar_invoices.sent_cc","server/src/routes/arInvoices.ts","72"
"ar_invoices.sent_to","server/src/routes/arInvoices.ts","71"
"ar_invoices.wad_id","server/src/routes/arInvoices.ts","69"
"assets.manage","server/index.ts","4727"
"assets.manage","server/index.ts","4929"
"assets.manage","server/src/capabilities.ts","206"
"assets.manage","server/src/routes/assetManagement.ts","43"
"assets.manage","server/src/routes/assetManagement.ts","57"
"assets.manage","server/src/routes/assetManagement.ts","70"
"assets.manage","server/src/routes/assetManagement.ts","101"
"assets.manage","server/src/routes/assetManagement.ts","115"
"assets.manage","server/src/routes/assetManagement.ts","128"
"assets.manage","server/src/routes/assetManagement.ts","143"
"assets.manage","server/src/routes/assetManagement.ts","360"
"assets.manage","server/src/routes/assetManagement.ts","391"
"assets.manage","server/src/routes/assetManagement.ts","423"
"audit_events.sequence_number","server/__tests__/controlledDocumentSchemaReadiness.test.ts","155"
"audit.allow_archive","migrations/0099_audit_evidence_hardening.sql","57"
"audit.allow_archive","migrations/0100_audit_ledger_privilege_hardening.sql","71"
"audit.allow_archive","migrations/0101_audit_tamper_attempts_durable.sql","89"
"audit.allow_archive","migrations/0101_audit_tamper_attempts_durable.sql","187"
"audit.dblink_host","migrations/0101_audit_tamper_attempts_durable.sql","99"
"audit.dblink_port","migrations/0101_audit_tamper_attempts_durable.sql","100"
"auth.route","server/src/routes/auth.ts","127"
"auth.route","server/src/routes/auth.ts","801"
"auth.route","server/src/routes/auth.ts","939"
"auth.service","migrations/0130_audit_dcaa_security_section11.sql","125"
"authoritative.pdf","server/__tests__/controlledDocumentRecovery.test.ts","125"
"barcode-labels.pdf","server/src/routes/index.ts","12565"
"blue.0","packages/training-app/client/src/pages/TrainerToday.tsx","283"
"blue.0","packages/training-app/client/src/pages/TrainerTraining.tsx","335"
"blue.0","packages/training-app/client/src/pages/TrainerTraining.tsx","402"
"blue.8","packages/training-app/client/src/pages/TrainerToday.tsx","284"
"blue.8","packages/training-app/client/src/pages/TrainerTraining.tsx","336"
"blue.8","packages/training-app/client/src/pages/TrainerTraining.tsx","404"
"cert.pdf","server/__tests__/vendorDocMigration.test.ts","276"
"certification.pdf","server/__tests__/controlledDocumentPhase2Postgres.test.ts","94"
"changed.pdf","server/__tests__/controlledDocumentRecovery.test.ts","175"
"cmmc.routes","server/src/routes/cmmc.ts","330"
"com.epoch.manufacturing.erp","capacitor.config.ts","4"
"com.epoch.manufacturing.erp","docs/github-export-with-rail-update/capacitor.config.ts","4"
"com.epoch.manufacturing.erp","docs/github-export/capacitor.config.ts","4"
"com.epoch.manufacturing.erp","github-export/capacitor.config.ts","4"
"commercial.blockers","server/__tests__/projectCommercialReview.test.ts","138"
"company-logo.png","server/src/routes/marketing.ts","844"
"console.error","client/src/main.tsx","61"
"console.error","github-export/client/src/main.tsx","29"
"contradictory.pdf","server/__tests__/controlledDocumentPhase2Postgres.test.ts","801"
"controlled_document_reconciliation_events.before_snapshot","server/__tests__/controlledDocumentSchemaReadiness.test.ts","202"
"controlled_document_reconciliation_evidence.immutable_file_size","server/__tests__/controlledDocumentSchemaReadiness.test.ts","210"
"controlled_documents.current_released_revision_id","server/__tests__/controlledDocumentPhase1BReconciliation.test.ts","46"
"controlled_documents.current_released_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","101"
"controlled_documents.current_released_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","121"
"controlled_documents.current_released_revision_id","server/src/services/controlledDocumentReconciliationService.ts","160"
"controlled_documents.current_released_revision_id","server/src/services/controlledDocumentSchemaReadiness.ts","63"
"controlled_documents.current_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","100"
"controlled_documents.current_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","120"
"controlled_documents.current_revision_id","server/src/services/controlledDocumentSchemaReadiness.ts","62"
"controlled_documents.lifecycle_status","server/__tests__/controlledDocumentSchemaReadiness.test.ts","91"
"controlled_documents.lifecycle_status","server/__tests__/controlledDocumentSchemaReadiness.test.ts","99"
"controlled_documents.lifecycle_status","server/__tests__/controlledDocumentSchemaReadiness.test.ts","119"
"controlled_documents.lifecycle_status","server/src/services/controlledDocumentReconciliationService.ts","161"
"controlled_documents.lifecycle_status","server/src/services/controlledDocumentSchemaReadiness.ts","61"
"controlled_documents.number_control_status","server/__tests__/controlledDocumentSchemaReadiness.test.ts","103"
"controlled_documents.number_control_status","server/__tests__/controlledDocumentSchemaReadiness.test.ts","123"
"controlled_documents.number_control_status","server/src/services/controlledDocumentSchemaReadiness.ts","65"
"controlled_documents.working_draft_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","102"
"controlled_documents.working_draft_revision_id","server/__tests__/controlledDocumentSchemaReadiness.test.ts","122"
"controlled_documents.working_draft_revision_id","server/src/services/controlledDocumentSchemaReadiness.ts","64"
"cutting_built_packets.allocated_to_order","server/scripts/backfillP2UsedPackets.ts","219"
"d.demand_status","server/__tests__/productionOrderProvisioningFoundation.test.ts","37"
"db.example.com","server/__tests__/dbHealth.test.ts","10"
"db.transaction","server/__tests__/productionExecutionAuthorizationFoundation.test.ts","56"
"db.transaction","server/__tests__/productionOrderProvisioningFoundation.test.ts","64"
"db.transaction","server/__tests__/projectPreproductionReadiness.test.ts","261"
"db.transaction","server/__tests__/projectPreproductionReadiness.test.ts","265"
"db.transaction","server/__tests__/projectQualityRelease.test.ts","142"
"db.transaction","server/__tests__/workOrderProvisioningFoundation.test.ts","38"
"definition.checklist.map","client/src/__tests__/designControlAuthority.client.test.ts","73"
"definition.fields.map","client/src/__tests__/designControlAuthority.client.test.ts","72"
"design_control_form_template_revisions.blank_pdf_base64","server/src/services/designControlTemplateSchemaReadiness.ts","45"
"design.assignment.admin","client/src/__tests__/designControlStructuredWorkspace.client.test.tsx","66"
"design.configuration.admin","migrations/0248_design_project_manufacturing_configuration.sql","313"
"design.configuration.admin","server/index.ts","4666"
"design.configuration.admin","server/src/designControlAuthorization.ts","26"
"design.configuration.applicability.approve","client/src/features/design-control/DesignProjectConfigurationWorkspace.tsx","175"
"design.configuration.applicability.approve","migrations/0248_design_project_manufacturing_configuration.sql","308"
"design.configuration.applicability.approve","server/__tests__/designProjectConfigurationWorkspacePhase2.test.ts","62"
"design.configuration.applicability.approve","server/__tests__/designProjectConfigurationWorkspacePhase2.test.ts","101"
"design.configuration.applicability.approve","server/__tests__/designProjectManufacturingConfiguration.test.ts","155"
"design.configuration.applicability.approve","server/index.ts","4661"
"design.configuration.applicability.approve","server/src/designControlAuthorization.ts","20"
"design.configuration.applicability.approve","server/src/routes/rdProjects.ts","1397"
"design.configuration.baseline.create","migrations/0248_design_project_manufacturing_configuration.sql","311"
