"source","line","evidence"
"server/auth.ts","461","export const requireAuth = (allowedRoles?: string[]) => {"
"server/auth.ts","477","if (allowedRoles && !allowedRoles.includes(user.role)) {"
"server/communication/capabilities.ts","26","if (!ALLOWED_ROLES.includes(user.role)) {"
"server/index.ts","355","// by requirePermission will correctly enforce capability checks when req.user is set."
"server/index.ts","5170","// Validate that every capability key referenced in requirePermission() calls"
"server/middleware/auth.ts","20","* but resolves to no employee in the database.  requirePermission reads this flag"
"server/middleware/auth.ts","137","export function requireRole(...allowedRoles: string[]) {"
"server/middleware/auth.ts","143","if (!allowedRoles.includes(req.user.role)) {"
"server/middleware/auth.ts","167","if (req.user.role === 'ADMIN' || req.user.role === 'HR') {"
"server/middleware/auth.ts","350","requireRole('ADMIN', 'OWNER'),"
"server/middleware/badgeAuth.ts","18","* Routes that require a populated req.user (e.g. via requirePermission) will"
"server/middleware/badgeAuth.ts","23","* requirePermission) can return a more helpful ""Badge not recognised"" error"
"server/middleware/badgeAuth.ts","102","// the ADMIN bypass in userHasScopedCapability) fire correctly for badge scans."
"server/middleware/badgeAuth.ts","138","// so requirePermission can return a descriptive ""Badge not recognised"" error."
"server/middleware/requirePermission.ts","28","sourceService: 'requirePermission.middleware',"
"server/middleware/requirePermission.ts","45","'[requirePermission] Failed to record controlled-document reconciliation authorization',"
"server/middleware/requirePermission.ts","55","*   app.post('/api/invoices', requirePermission('finance.invoice.create'), handler)"
"server/middleware/requirePermission.ts","63","export function requirePermission(capabilityKey: string) {"
"server/middleware/requirePermission.ts","79","if (role === 'ADMIN' || role === 'OWNER') {"
"server/middleware/requirePermission.ts","98","console.error('[requirePermission] Error checking permissions:', err);"
"server/middleware/requirePermission.ts","106","export function requireAnyPermission(capabilityKeys: readonly string[]) {"
"server/middleware/requirePermission.ts","108","throw new Error('requireAnyPermission requires at least one capability');"
"server/middleware/requirePermission.ts","115","if (role === 'ADMIN' || role === 'OWNER') return next();"
"server/middleware/requirePermission.ts","126","console.error('[requireAnyPermission] Error checking permissions:', err);"
"server/middleware/routeAuthorization.ts","390","for (const [routePattern, allowedRoles] of Object.entries(ROLE_ROUTE_ACCESS)) {"
"server/middleware/routeAuthorization.ts","392","if (allowedRoles.includes(role)) return true;"
"server/middleware/routeAuthorization.ts","463","if (role === 'ADMIN' || role === 'OWNER') {"
"server/middleware/routeAuthorization.ts","516","if (hasFullAccess(username) || role === 'ADMIN' || role === 'OWNER') {"
"server/middleware/routeAuthorization.ts","535","if (hasFullAccess(username) || role === 'ADMIN' || role === 'OWNER' || role === 'FINANCE') {"
"server/src/capabilities.ts","5","* requirePermission(). This list is used as a cross-check against the live"
"server/src/capabilities.ts","16","* When adding a new requirePermission('some.key') call:"
"server/src/capabilities.ts","22","* Note: requirePermission() calls must use string literals (not variables) so the"
"server/src/capabilities.ts","246","// note), so it is not listed here as a requirePermission() callsite."
