stock_model,action_length,action,barrel,bottom_metal,color,extras,price,status
CF Alpine Hunter,Short,Lone Peak,Rem Factory Sporter,Hawkins M5,Carbon Camo Ready,EH133,,AVAILABLE
CF Alpine Hunter,Long,Rem 700,Bartlein 3b,Rem BDL,C. Black,AI219,,AVAILABLE
CF Adj. Chalk Branch,Short,Bergara Premier,SWS Bull ,AG M5,C Desert Night,AG049,,AVAILABLE
FG Privateer LH,Long,Rem 700,Rem Factory Sporter,AG M5,Black Camo,,,AVAILABLE
FG Privateer LH,Long,Rem 700,Rem Factory Sporter,AG M5,Black Camo,,,AVAILABLE
CF Chalk Branch,Long,Kelbly Atlas,Heavy Palma,Hawkins Hunter,Carbon Camo Ready,AK036,,AVAILABLE
FG Privateer,Short,Zermatt SR3,Benchmark #5,AG BDL,Charcoal Gray,,,AVAILABLE
FG Visigoth,Short,Rem 700,Rem Factory Sporter,HS Precision,Primed ,texture grip & forend  AN087,,AVAILABLE
FG CAT,Short,Rem 700,MS2/ASG,Rem ADL,Primed ,AI342,,AVAILABLE
CF Alpine Hunter,Long,Def. Anti X,Proof Sendero,Hawkins M5,,EI465,,AVAILABLE
CF Alpine Hunter,Long,Def. Anti X,Proof Sendero,Hawkins M5,,EI471,,AVAILABLE
CF Alpine Hunter,Long,Def. Anti X,Proof Sendero,Hawkins M5,,EI475,,AVAILABLE
CF Alpine Hunter,Short,Zermatt TL3,Proof Sendero,Hawkins M5,,AG133,,AVAILABLE
FG Adj Hunter,Long,Rem 700,Proof Sendero,Rem BDL,,EH070,,AVAILABLE
FG Alpine Hunter,Short,Anti Tenacity,MS2/ASG,Rem ADL,Sawtooth Web,AJ266,,AVAILABLE
FG Privateer Tikka,,Tikka,Tikka Factory Sporter,Tikka,Charcoal Gray,AJ127,,AVAILABLE
FG Privateer Tikka,,Tikka,Tikka Factory Sporter,Tikka,Charcoal Gray,AJ127,,AVAILABLE
CF CAT LH,Medium,Lone Peak,Rem Varmint,Hawkins M5,Swamper,,,AVAILABLE
FG Privateer,Short,Zermatt SR3,Benchmark #5,AG BDL,Charcoal Gray,AI268,,AVAILABLE
CF Visigoth,Short,Rem 700,MS2/ASG,Rem ADL,Carbon Steel,AH067.2,,AVAILABLE
CF Ferrata,Long,Rem 700,Carbon Six Medium,AG BDL,Blue Web,AB077,,AVAILABLE
FG Visigoth,Long,Mesa Summit,Bartlein 3b,Hawkins BDL Obendorf,Primed ,,,AVAILABLE
CF Privateer,Long,Zermatt SR3,Carbon Six Sendero,HS Precision,Charcoal Gray,AH030,,AVAILABLE
