id,question_id,answer_text,sort_order,is_correct,created_at
111,19,The collection area supervisor,3,f,2025-10-01 20:10:29.038402
113,22,In the designated SDS books and written program location,1,t,2025-10-01 20:52:14.617675
114,22,In the manager's office only,2,f,2025-10-01 20:52:14.617675
115,22,Online at the company website,3,f,2025-10-01 20:52:14.617675
116,22,Posted on the break room wall,4,f,2025-10-01 20:52:14.617675
117,23,Danger and Warning,1,t,2025-10-01 20:52:14.617675
118,23,Caution and Danger,2,f,2025-10-01 20:52:14.617675
119,23,Warning and Caution,3,f,2025-10-01 20:52:14.617675
120,23,Hazard and Danger,4,f,2025-10-01 20:52:14.617675
121,24,In a fire safe cabinet,1,t,2025-10-01 20:52:14.617675
122,24,On regular shelves,2,f,2025-10-01 20:52:14.617675
123,24,In the refrigerator,3,f,2025-10-01 20:52:14.617675
124,24,Next to the workstation,4,f,2025-10-01 20:52:14.617675
125,25,65°F - 75°F,1,t,2025-10-01 20:52:14.617675
126,25,32°F - 50°F,2,f,2025-10-01 20:52:14.617675
127,25,75°F - 85°F,3,f,2025-10-01 20:52:14.617675
128,25,Room temperature,4,f,2025-10-01 20:52:14.617675
130,26,Pour it down the drain,2,f,2025-10-01 20:52:14.617675
131,26,Fill out a disposal form and give to Production Manager,3,f,2025-10-01 20:52:14.617675
132,26,Store it for future use,4,f,2025-10-01 20:52:14.617675
134,27,Just throw it in the dumpster,2,f,2025-10-01 20:52:14.617675
135,27,Allow it to evaporate first,3,f,2025-10-01 20:52:14.617675
136,27,Store it in the fire safe cabinet,4,f,2025-10-01 20:52:14.617675
137,28,"First In, First Out - use oldest items before they expire",1,t,2025-10-01 20:52:14.617675
138,28,"Fast In, Fast Out - work quickly",2,f,2025-10-01 20:52:14.617675
139,28,"Find It, Fix It, Organize - workplace organization",3,f,2025-10-01 20:52:14.617675
140,28,"Final Inspection, First Operation - production flow",4,f,2025-10-01 20:52:14.617675
141,29,Acute illnesses develop suddenly and last a short time; chronic illnesses develop slowly over months to years,1,t,2025-10-01 20:52:14.617675
142,29,Acute illnesses are always fatal; chronic illnesses are not,2,f,2025-10-01 20:52:14.617675
143,29,Acute illnesses are from chemicals; chronic illnesses are from physical injuries,3,f,2025-10-01 20:52:14.617675
144,29,Acute illnesses last months; chronic illnesses last days,4,f,2025-10-01 20:52:14.617675
145,30,Correct the employee or immediately notify the department leader or Safety Team,1,t,2025-10-01 20:52:14.617675
146,30,Ignore it to avoid conflict,2,f,2025-10-01 20:52:14.617675
147,30,Wait until the end of the shift to report it,3,f,2025-10-01 20:52:14.617675
148,30,Only report it if someone gets injured,4,f,2025-10-01 20:52:14.617675
149,31,In the freezer at -1°F to 23°F,1,t,2025-10-01 20:52:14.617675
150,31,In the refrigerator at 65°F - 75°F,2,f,2025-10-01 20:52:14.617675
151,31,In a fire safe cabinet,3,f,2025-10-01 20:52:14.617675
152,31,At room temperature,4,f,2025-10-01 20:52:14.617675
